Date,Economic Center,Fruit,Average Price (LKR/kg),Quantity Exposed (metric tons)
2024-01-01,Dambulla,TJC mango,126.25,7.1
2024-01-01,Dambulla,Banana,62.93,4.7
2024-01-01,Dambulla,Pineapple,84.11,3.5
2024-01-01,Pettah,TJC mango,133.02,6.7
2024-01-01,Pettah,Banana,48.04,20.6
2024-01-01,Pettah,Pineapple,79.16,5.8
2024-01-01,Meegoda,TJC mango,119.96,2.2
2024-01-01,Meegoda,Banana,57.34,19.1
2024-01-01,Meegoda,Pineapple,92.16,4.7
2024-01-01,Narahenpita,TJC mango,119.5,8.3
2024-01-01,Narahenpita,Banana,62.35,10.6
2024-01-01,Narahenpita,Pineapple,68.39,5.0
2024-01-01,Embilipitiya,TJC mango,132.22,7.8
2024-01-01,Embilipitiya,Banana,71.91,17.1
2024-01-01,Embilipitiya,Pineapple,70.23,4.8
2024-01-02,Dambulla,TJC mango,159.55,6.3
2024-01-02,Dambulla,Banana,58.68,28.5
2024-01-02,Dambulla,Pineapple,77.02,2.6
2024-01-02,Pettah,TJC mango,132.31,12.1
2024-01-02,Pettah,Banana,63.22,17.9
2024-01-02,Pettah,Pineapple,87.65,5.9
2024-01-02,Meegoda,TJC mango,124.96,9.7
2024-01-02,Meegoda,Banana,49.29,16.5
2024-01-02,Meegoda,Pineapple,57.3,4.1
2024-01-02,Narahenpita,TJC mango,88.3,8.4
2024-01-02,Narahenpita,Banana,53.3,21.6
2024-01-02,Narahenpita,Pineapple,74.09,4.5
2024-01-02,Embilipitiya,TJC mango,128.24,5.3
2024-01-02,Embilipitiya,Banana,51.99,14.5
2024-01-02,Embilipitiya,Pineapple,62.78,2.9
2024-01-03,Dambulla,TJC mango,104.36,10.2
2024-01-03,Dambulla,Banana,46.64,21.9
2024-01-03,Dambulla,Pineapple,77.58,4.8
2024-01-03,Pettah,TJC mango,111.67,9.9
2024-01-03,Pettah,Banana,60.51,9.1
2024-01-03,Pettah,Pineapple,67.39,3.6
2024-01-03,Meegoda,TJC mango,119.32,5.9
2024-01-03,Meegoda,Banana,55.05,13.1
