Date,Economic Center,Fruit,Average Price (LKR/kg),Quantity Exposed (metric tons)
1/1/2022,Dambulla,TJC mango,92.55,7.3
1/1/2022,Dambulla,Banana,59.65,21.4
1/1/2022,Dambulla,Pineapple,72.94,5.7
1/1/2022,Pettah,TJC mango,131.44,7.1
1/1/2022,Pettah,Banana,58.52,21.6
1/1/2022,Pettah,Pineapple,80.6,3.1
1/1/2022,Meegoda,TJC mango,131.13,5.7
1/1/2022,Meegoda,Banana,68.35,19.7
1/1/2022,Meegoda,Pineapple,67.36,5.3
1/1/2022,Narahenpita,TJC mango,118.03,6.9
1/1/2022,Narahenpita,Banana,67.27,15.8
1/1/2022,Narahenpita,Pineapple,64.65,6
1/1/2022,Embilipitiya,TJC mango,126.39,6
1/1/2022,Embilipitiya,Banana,68.31,19.9
1/1/2022,Embilipitiya,Pineapple,84.64,3.1
1/2/2022,Dambulla,TJC mango,101.44,5.3
1/2/2022,Dambulla,Banana,59.8,23
1/2/2022,Dambulla,Pineapple,80.04,4.1
1/2/2022,Pettah,TJC mango,104.17,6.5
1/2/2022,Pettah,Banana,66.95,13.9
1/2/2022,Pettah,Pineapple,80.49,3.6
1/2/2022,Meegoda,TJC mango,147.02,9.4
1/2/2022,Meegoda,Banana,66.26,18.6
1/2/2022,Meegoda,Pineapple,87.26,3.4
1/2/2022,Narahenpita,TJC mango,121.8,9.7
1/2/2022,Narahenpita,Banana,,
1/2/2022,Narahenpita,Pineapple,60.35,4.2
1/2/2022,Embilipitiya,TJC mango,131.69,11.2
1/2/2022,Embilipitiya,Banana,45.33,21.2
1/2/2022,Embilipitiya,Pineapple,74.56,3.5
1/3/2022,Dambulla,TJC mango,120.77,10.5
1/3/2022,Dambulla,Banana,54.76,16.3
1/3/2022,Dambulla,Pineapple,77.41,3.8
1/3/2022,Pettah,TJC mango,115.18,7.5
1/3/2022,Pettah,Banana,59.73,17.3
1/3/2022,Pettah,Pineapple,92.36,2
1/3/2022,Meegoda,TJC mango,122.99,9.5
1/3/2022,Meegoda,Banana,77.38,22.5
1/3/2022,Meegoda,Pineapple,78.6,2.9
1/3/2022,Narahenpita,TJC mango,95.14,6.3
1/3/2022,Narahenpita,Banana,68.15,25.8
1/3/2022,Narahenpita,Pineapple,97,5.1
1/3/2022,Embilipitiya,TJC mango,134.33,8.5
1/3/2022,Embilipitiya,Banana,53.79,5.1
1/3/2022,Embilipitiya,Pineapple,71.78,4.6
1/4/2022,Dambulla,TJC mango,94.26,6.2
1/4/2022,Dambulla,Banana,60.15,12.9
1/4/2022,Dambulla,Pineapple,74.18,4.4
1/4/2022,Pettah,TJC mango,136.26,6.1
1/4/2022,Pettah,Banana,45.6,14.8
1/4/2022,Pettah,Pineapple,90.65,4.6
1/4/2022,Meegoda,TJC mango,127.59,9.5
1/4/2022,Meegoda,Banana,60.96,21.7
1/4/2022,Meegoda,Pineapple,67.12,4.8
1/4/2022,Narahenpita,TJC mango,119.74,10.5
1/4/2022,Narahenpita,Banana,70.79,13.9
1/4/2022,Narahenpita,Pineapple,70.29,3.5
1/4/2022,Embilipitiya,TJC mango,130.67,10.5
1/4/2022,Embilipitiya,Banana,57.28,14.6
1/4/2022,Embilipitiya,Pineapple,63.72,3.9
1/5/2022,Dambulla,TJC mango,130.81,8.7
1/5/2022,Dambulla,Banana,75.17,8.3
1/5/2022,Dambulla,Pineapple,84.02,3.6
1/5/2022,Pettah,TJC mango,126.79,10
1/5/2022,Pettah,Banana,53.44,21.2
1/5/2022,Pettah,Pineapple,77.74,2.9
1/5/2022,Meegoda,TJC mango,125.9,5.6
1/5/2022,Meegoda,Banana,57.85,18.1
1/5/2022,Meegoda,Pineapple,87.56,2.5
1/5/2022,Narahenpita,TJC mango,98.5,6.4
1/5/2022,Narahenpita,Banana,63.24,18.7
1/5/2022,Narahenpita,Pineapple,94.41,3.9
1/5/2022,Embilipitiya,TJC mango,115.17,7.2
1/5/2022,Embilipitiya,Banana,56.83,24.3
1/5/2022,Embilipitiya,Pineapple,95.16,2.1
1/6/2022,Dambulla,TJC mango,103.81,9.4
1/6/2022,Dambulla,Banana,56.79,11.3
1/6/2022,Dambulla,Pineapple,79.67,3.8
1/6/2022,Pettah,TJC mango,90.56,6.7
1/6/2022,Pettah,Banana,63.98,16.1
1/6/2022,Pettah,Pineapple,70.79,4.3
1/6/2022,Meegoda,TJC mango,122.07,6.3
1/6/2022,Meegoda,Banana,71.45,9.6
1/6/2022,Meegoda,Pineapple,92.51,4.9
1/6/2022,Narahenpita,TJC mango,105.33,7.7
1/6/2022,Narahenpita,Banana,56.76,15.3
1/6/2022,Narahenpita,Pineapple,66.53,2.7
1/6/2022,Embilipitiya,TJC mango,116.4,8.1
1/6/2022,Embilipitiya,Banana,61.01,11.5
1/6/2022,Embilipitiya,Pineapple,76.42,3.2
1/7/2022,Dambulla,TJC mango,123.55,6.1
1/7/2022,Dambulla,Banana,63.67,23.7
1/7/2022,Dambulla,Pineapple,69.87,3.3
1/7/2022,Pettah,TJC mango,115.92,5
1/7/2022,Pettah,Banana,62.99,8.7
1/7/2022,Pettah,Pineapple,65.04,3.4
1/7/2022,Meegoda,TJC mango,131.21,9.4
1/7/2022,Meegoda,Banana,64.96,12.6
1/7/2022,Meegoda,Pineapple,89.35,3.8
1/7/2022,Narahenpita,TJC mango,,
1/7/2022,Narahenpita,Banana,47.16,11.1
1/7/2022,Narahenpita,Pineapple,81.84,4.7
1/7/2022,Embilipitiya,TJC mango,85,10.8
1/7/2022,Embilipitiya,Banana,72.26,19.1
1/7/2022,Embilipitiya,Pineapple,81.03,2.5
1/8/2022,Dambulla,TJC mango,127.94,10.7
1/8/2022,Dambulla,Banana,72.02,19.1
1/8/2022,Dambulla,Pineapple,70.1,5.1
1/8/2022,Pettah,TJC mango,122.96,8.5
1/8/2022,Pettah,Banana,58.12,18.4
1/8/2022,Pettah,Pineapple,77.34,4
1/8/2022,Meegoda,TJC mango,118.43,6.8
1/8/2022,Meegoda,Banana,68.39,8.1
1/8/2022,Meegoda,Pineapple,93.6,3.8
1/8/2022,Narahenpita,TJC mango,105.14,7.6
1/8/2022,Narahenpita,Banana,67.47,16.8
1/8/2022,Narahenpita,Pineapple,66.08,3.7
1/8/2022,Embilipitiya,TJC mango,132.42,8.4
1/8/2022,Embilipitiya,Banana,65.85,26.1
1/8/2022,Embilipitiya,Pineapple,75,5.5
1/9/2022,Dambulla,TJC mango,126.01,2.3
1/9/2022,Dambulla,Banana,58.42,24.4
1/9/2022,Dambulla,Pineapple,90.38,4.8
1/9/2022,Pettah,TJC mango,122.48,10.5
1/9/2022,Pettah,Banana,57.31,10.5
1/9/2022,Pettah,Pineapple,65.72,3.5
1/9/2022,Meegoda,TJC mango,125.61,8.4
1/9/2022,Meegoda,Banana,68.08,19.7
1/9/2022,Meegoda,Pineapple,82.61,4.1
1/9/2022,Narahenpita,TJC mango,111.73,7.9
1/9/2022,Narahenpita,Banana,58.97,22.9
1/9/2022,Narahenpita,Pineapple,86.72,5.8
1/9/2022,Embilipitiya,TJC mango,114.23,7.2
1/9/2022,Embilipitiya,Banana,65.51,27
1/9/2022,Embilipitiya,Pineapple,78.73,4.3
1/10/2022,Dambulla,TJC mango,120.97,10.6
1/10/2022,Dambulla,Banana,58.04,16.1
1/10/2022,Dambulla,Pineapple,47,4.7
1/10/2022,Pettah,TJC mango,108.37,8.9
1/10/2022,Pettah,Banana,54.97,22.2
1/10/2022,Pettah,Pineapple,85.39,4.4
1/10/2022,Meegoda,TJC mango,141.62,7.7
1/10/2022,Meegoda,Banana,49.91,16.3
1/10/2022,Meegoda,Pineapple,74.11,4.3
1/10/2022,Narahenpita,TJC mango,131.3,8.5
1/10/2022,Narahenpita,Banana,57.09,10
1/10/2022,Narahenpita,Pineapple,74.73,3.2
1/10/2022,Embilipitiya,TJC mango,107.41,9.6
1/10/2022,Embilipitiya,Banana,64.83,8.6
1/10/2022,Embilipitiya,Pineapple,72.22,3.2
1/11/2022,Dambulla,TJC mango,110.43,10.1
1/11/2022,Dambulla,Banana,70.66,16.7
1/11/2022,Dambulla,Pineapple,80.67,2
1/11/2022,Pettah,TJC mango,130.46,9.6
1/11/2022,Pettah,Banana,55.89,18.7
1/11/2022,Pettah,Pineapple,55.29,3.8
1/11/2022,Meegoda,TJC mango,137.51,11.2
1/11/2022,Meegoda,Banana,66.32,10.9
1/11/2022,Meegoda,Pineapple,86.4,4.5
1/11/2022,Narahenpita,TJC mango,111.51,6.9
1/11/2022,Narahenpita,Banana,68.55,21.1
1/11/2022,Narahenpita,Pineapple,81.61,2.9
1/11/2022,Embilipitiya,TJC mango,110.24,6.9
1/11/2022,Embilipitiya,Banana,54.34,16.8
1/11/2022,Embilipitiya,Pineapple,62.12,6.2
1/12/2022,Dambulla,TJC mango,111.33,9
1/12/2022,Dambulla,Banana,44.78,26.2
1/12/2022,Dambulla,Pineapple,71.42,3.6
1/12/2022,Pettah,TJC mango,136.59,4.7
1/12/2022,Pettah,Banana,79.02,14.2
1/12/2022,Pettah,Pineapple,97.63,3.8
1/12/2022,Meegoda,TJC mango,118.97,7.2
1/12/2022,Meegoda,Banana,54.74,15.7
1/12/2022,Meegoda,Pineapple,79.06,5.5
1/12/2022,Narahenpita,TJC mango,115.07,6.6
1/12/2022,Narahenpita,Banana,49.13,21
1/12/2022,Narahenpita,Pineapple,64.16,3.1
1/12/2022,Embilipitiya,TJC mango,159.02,1.7
1/12/2022,Embilipitiya,Banana,53.79,18.1
1/12/2022,Embilipitiya,Pineapple,90.93,3
1/13/2022,Dambulla,TJC mango,104.13,7.3
1/13/2022,Dambulla,Banana,50.85,16.2
1/13/2022,Dambulla,Pineapple,77.91,3.7
1/13/2022,Pettah,TJC mango,127.8,6.3
1/13/2022,Pettah,Banana,61.58,7.5
1/13/2022,Pettah,Pineapple,80.88,2.9
1/13/2022,Meegoda,TJC mango,125.36,9
1/13/2022,Meegoda,Banana,55.37,17.6
1/13/2022,Meegoda,Pineapple,77.58,3.4
1/13/2022,Narahenpita,TJC mango,118.17,6
1/13/2022,Narahenpita,Banana,54.42,23.8
1/13/2022,Narahenpita,Pineapple,70.6,4.2
1/13/2022,Embilipitiya,TJC mango,119.52,7.2
1/13/2022,Embilipitiya,Banana,55.78,19
1/13/2022,Embilipitiya,Pineapple,,
1/14/2022,Dambulla,TJC mango,98.87,10
1/14/2022,Dambulla,Banana,69.58,22.7
1/14/2022,Dambulla,Pineapple,76.56,2.6
1/14/2022,Pettah,TJC mango,117.32,7.4
1/14/2022,Pettah,Banana,70.42,11.8
1/14/2022,Pettah,Pineapple,99.01,2.1
1/14/2022,Meegoda,TJC mango,152.15,5.5
1/14/2022,Meegoda,Banana,77.2,19.6
1/14/2022,Meegoda,Pineapple,74.14,5.1
1/14/2022,Narahenpita,TJC mango,94.34,10.9
1/14/2022,Narahenpita,Banana,,
1/14/2022,Narahenpita,Pineapple,86.99,4.6
1/14/2022,Embilipitiya,TJC mango,99.45,4.9
1/14/2022,Embilipitiya,Banana,58.37,20.5
1/14/2022,Embilipitiya,Pineapple,78.93,1.2
1/15/2022,Dambulla,TJC mango,103.26,7.5
1/15/2022,Dambulla,Banana,,
1/15/2022,Dambulla,Pineapple,93.46,3.4
1/15/2022,Pettah,TJC mango,103.38,9.4
1/15/2022,Pettah,Banana,75.88,9.8
1/15/2022,Pettah,Pineapple,95.91,5.1
